date,value
2020-09-22,293
2020-09-23,759
2020-09-24,679
2020-09-25,295
2020-09-26,426
2020-09-27,943
2020-09-28,544
2020-09-29,141
2020-09-30,703
2020-10-01,232
2020-10-02,266
2020-10-03,872
2020-10-04,436
2020-10-05,539
2020-10-06,213
2020-10-07,910
2020-10-08,801
2020-10-09,158
2020-10-10,653
2020-10-11,208
2020-10-12,606
2020-10-13,497
2020-10-14,795
2020-10-15,592
2020-10-16,620
2020-10-17,556
2020-10-18,583
2020-10-19,109
2020-10-20,932
2020-10-21,302
2020-10-22,678
2020-10-23,330
2020-10-24,407
2020-10-25,350
2020-10-26,115
2020-10-27,733
2020-10-28,217
2020-10-29,888
2020-10-30,605
2020-10-31,671
2020-11-01,181
2020-11-02,202
2020-11-03,762
2020-11-04,789
2020-11-05,385
2020-11-06,530
2020-11-07,360
2020-11-08,718
2020-11-09,1000
2020-11-10,956
2020-11-11,880
2020-11-12,897
2020-11-13,140
2020-11-14,521
2020-11-15,504
2020-11-16,406
2020-11-17,724
2020-11-18,573
2020-11-19,574
2020-11-20,726
2020-11-21,280
2020-11-22,626
2020-11-23,605
2020-11-24,697
2020-11-25,631
2020-11-26,977
2020-11-27,263
2020-11-28,357
2020-11-29,547
2020-11-30,639
2020-12-01,182
2020-12-02,375
2020-12-03,800
2020-12-04,958
2020-12-05,575
2020-12-06,392
